method,rho,fdr,power
m-X-knockoff,0.0,0.0,0.8
m-X-knockoff,0.1,0.0,0.4
m-X-knockoff,0.3,0.0,0.0
m-X-knockoff,0.5,0.0,0.6
m-X-knockoff,0.7,0.5,0.4
m-X-knockoff,0.9,0.0,0.0
CPI-knockoff,0.0,0.25,0.6
CPI-knockoff,0.1,0.0,0.6
CPI-knockoff,0.3,0.0,0.4
CPI-knockoff,0.5,0.0,0.4
CPI-knockoff,0.7,0.0,0.6
CPI-knockoff,0.9,0.0,0.6
m-X-knockoff,0.0,0.6,0.4
m-X-knockoff,0.1,0.5,0.2
m-X-knockoff,0.3,0.0,0.4
m-X-knockoff,0.5,0.5,0.4
m-X-knockoff,0.7,0.0,0.2
m-X-knockoff,0.9,0.0,0.2
CPI-knockoff,0.0,0.0,0.4
CPI-knockoff,0.1,0.0,0.4
CPI-knockoff,0.3,0.0,0.4
CPI-knockoff,0.5,0.0,0.4
CPI-knockoff,0.7,0.0,0.6
CPI-knockoff,0.9,0.5833333333333334,1.0
